Drug Name,Manufacturer,Strength,Form,Category,Indication,Side Effects,Price
Dalacin-T 30s SR-4801,Ferozsons,30s,Ointment,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,708
Acefyl 10mg SR-4802,Barrett Hodgson,10mg,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,134
Velo 20mg SR-4803,Pfizer,20mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",664
Pulmonol 500mg/5ml SR-4804,Abbott,500mg/5ml,Syrup,Syrups/Suspensions,Cough expectorant to clear lung congestion and ease throat irritation.,Mild stomach upset or drowsiness.,1438
Ventolin 30s SR-4805,Pfizer,30s,Syrup,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",1280
Ennerzo 10s SR-4806,Sanofi,10s,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",136
Velo 20mg SR-4807,Hilton,20mg,Powder,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",110
Azomax 5ml SR-4808,Bosch,5ml,Capsule,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",161
Hydrozole 10mg SR-4809,Hilton,10mg,Ointment,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,172
Ispaghol 10mg SR-4810,Sanofi,10mg,Sachet,Powders/Sachets,"Natural psyllium husk fiber supplement for chronic constipation, bowel regularity, and cholesterol.","Mild gas, bloating, or stomach cramps.",1260
Somogel 10mg SR-4811,Barrett Hodgson,10mg,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,1214
Zovirax 20g SR-4812,Martin Dow,20g,Cream,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,53
Entamizole 100mg SR-4813,Ferozsons,100mg,Tablet,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",1319
Azomax 20s SR-4814,Abbott,20s,Capsule,Tablets/Capsules,"Treats bacterial infections of respiratory tract, ENT, skin, and urinary tract.","Nausea, diarrhea, abdominal discomfort, or skin rash.",148
Mobic Gel 100mg SR-4815,Bayer,100mg,Gel,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,1119
Zovirax 1g SR-4816,Sami,1g,Ointment,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,1250
Betnovate-N 500mg/5ml SR-4817,Hilton,500mg/5ml,Gel,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",1183
Acetone 10s SR-4818,Sami,10s,Syrup,Syrups/Suspensions,Fever reducer and analgesic for mild-to-moderate physical discomforts.,Safe under recommended dose.,398
Brufen Syrup 1g SR-4819,Sanofi,1g,Syrup,Syrups/Suspensions,Pediatric antipyretic and anti-inflammatory for fever and child teething pain.,Mild stomach upset or nausea.,633
Cravit 10s SR-4820,Novartis,10s,Tablet,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",411
Fesovit 30s SR-4821,Ferozsons,30s,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,189
Hydrozole 10s SR-4822,Sami,10s,Ointment,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,250
Lipiget 5ml SR-4823,Hilton,5ml,Tablet,Tablets/Capsules,Lowers high cholesterol levels and prevents cardiovascular complications.,"Muscle pain, headache, or mild digestive issues.",1419
Fesovit 10mg SR-4824,PharmEvo,10mg,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1165
Xanax 40mg SR-4825,Sami,40mg,Tablet,Tablets/Capsules,"Provides short-term relief of severe anxiety, panic disorders, and tension.","Drowsiness, lightheadedness, or dry mouth.",492
Somogel 20g SR-4826,Searle,20g,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,1414
Citra-Alka 50mg SR-4827,Martin Dow,50mg,Powder,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,651
Evion 15g SR-4828,Martin Dow,15g,Capsule,Tablets/Capsules,"Vitamin E supplement for healthy muscle, skin, nerve tissue, and antioxidant protection.",None under standard dosage.,1234
Canesten 1g SR-4829,Hilton,1g,Ointment,Tubes (Creams/Gels/Ointments),"Broad-spectrum antifungal cream to treat athlete's foot, ringworm, and skin yeast infections.",Local irritation or mild redness.,205
Selsun Blue 40mg SR-4830,Searle,40mg,Gel,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,1346
Betnovate-N 20g SR-4831,Martin Dow,20g,Gel,Tubes (Creams/Gels/Ointments),"Corticosteroid and antibacterial cream for eczema, dermatitis, and skin inflammatory conditions.","Mild burning sensation, localized skin thinning, or redness.",825
Entamizole 1g SR-4832,Hilton,1g,Tablet,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",196
Fesovit 50mg SR-4833,Hilton,50mg,Powder,Powders/Sachets,"Iron, folic acid, and vitamin supplement to treat nutritional anemia and weakness.",Dark stools or mild digestive discomfort.,1240
Zovirax 50s SR-4834,Searle,50s,Cream,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,493
Evion 10s SR-4835,Sami,10s,Tablet,Tablets/Capsules,"Vitamin E supplement for healthy muscle, skin, nerve tissue, and antioxidant protection.",None under standard dosage.,689
Cravit 250mg/5ml SR-4836,Ferozsons,250mg/5ml,Tablet,Tablets/Capsules,Broad-spectrum fluoroquinolone antibiotic for severe bacterial infections.,"Dizziness, diarrhea, or tendon discomfort.",924
Brufen 1g SR-4837,GSK,1g,Tablet,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",729
Smecta 20g SR-4838,Pfizer,20g,Powder,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,875
Corex 30s SR-4839,Bayer,30s,Syrup,Syrups/Suspensions,Expectorant and nasal decongestant for chesty coughs and sinus congestion.,Mild drowsiness or dry mouth.,1246
Instaflex 40mg SR-4840,Bayer,40mg,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",597
Softin 500mg/5ml SR-4841,Abbott,500mg/5ml,Tablet,Tablets/Capsules,"Provides relief from symptoms of allergic rhinitis, sneezing, watery eyes, and hives.","Drowsiness (rare), dry mouth, or headache.",1396
Dalacin-T 20mg SR-4842,Getz Pharma,20mg,Gel,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,1253
Somogel 40mg SR-4843,Novartis,40mg,Cream,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,856
Brufen 20g SR-4844,Searle,20g,Capsule,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",518
Somogel 250mg/5ml SR-4845,Pfizer,250mg/5ml,Ointment,Tubes (Creams/Gels/Ointments),"Antiseptic and pain relieving gel for mouth ulcers, teething pain, and gum inflammation.",Transient mild stinging or tingling sensation.,754
Bonjela 100mg SR-4846,Getz Pharma,100mg,Sachet,Powders/Sachets,"Teething gel and ulcer powder for fast relief of mouth pain, ulcers, and sore gums.",Mild transient stinging.,509
Ventolin 50mg SR-4847,Hilton,50mg,Suspension,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",647
Gravinate 20g SR-4848,Sanofi,20g,Syrup,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",665
Ventolin 15g SR-4849,PharmEvo,15g,Syrup,Syrups/Suspensions,"Bronchodilator to relieve wheezing, shortness of breath, asthma, and COPD symptoms.","Tremor, mild headache, or rapid heart rate.",1027
Risek 30g SR-4850,PharmEvo,30g,Tablet,Tablets/Capsules,"Treats gastric acidity, heartburn, gastroesophageal reflux disease (GERD), and peptic ulcers.","Headache, mild abdominal pain, or flatulence.",1351
Hydrocortisone 50s SR-4851,Ferozsons,50s,Gel,Tubes (Creams/Gels/Ointments),"Mild corticosteroid cream for localized allergic reactions, insect bites, and eczema.",Mild localized burning or redness.,1362
Panadol 10s SR-4852,Pfizer,10s,Capsule,Tablets/Capsules,"Used for rapid relief of fever, headache, migraine, toothache, and body pain.",Safe under recommended dose. Rare skin rash or liver issue if overdosed.,1058
Smecta 5ml SR-4853,Pfizer,5ml,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,277
Cac-1000 30s SR-4854,Pfizer,30s,Suspension,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,865
Cac-1000 40mg SR-4855,Novartis,40mg,Syrup,Powders/Sachets,"Calcium, Vitamin C, D3, and B6 supplement for strong bones and energy boost.",Mild stomach upset or bloating.,1263
Dalacin-T 15g SR-4856,Abbott,15g,Ointment,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,774
ORS (Nimkol) 30g SR-4857,Barrett Hodgson,30g,Sachet,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,813
Smecta 20s SR-4858,Sami,20s,Sachet,Powders/Sachets,Natural clay absorbent sachet for symptomatic relief of acute diarrhea in adults and children.,Constipation (rare) or mild bloating.,514
Zovirax 20mg SR-4859,Barrett Hodgson,20mg,Ointment,Tubes (Creams/Gels/Ointments),Antiviral cream for early relief and treatment of herpes labialis (cold sores).,Temporary mild stinging or dry skin.,1473
Hydrozole 20s SR-4860,Abbott,20s,Ointment,Tubes (Creams/Gels/Ointments),Dual action antifungal and anti-inflammatory cream for fungal skin infections and eczema.,Mild localized burning or irritation.,1480
Sancos 1g SR-4861,Sanofi,1g,Syrup,Syrups/Suspensions,"Cough suppressant syrup to control dry, tickly, non-productive coughs.",Mild drowsiness or dry throat.,268
Velo 40mg SR-4862,Ferozsons,40mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",993
Citra-Alka 250mg/5ml SR-4863,GSK,250mg/5ml,Powder,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,752
Citra-Alka 20mg SR-4864,Getz Pharma,20mg,Sachet,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,583
Acefyl 500mg SR-4865,Novartis,500mg,Suspension,Syrups/Suspensions,Cough expectorant and bronchodilator for relieving chest congestion and asthma.,Mild restlessness or nausea.,666
Mobic Gel 15g SR-4866,Searle,15g,Ointment,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,360
Co-Amoxiclav 5ml SR-4867,Hilton,5ml,Suspension,Syrups/Suspensions,"Combined antibiotic for severe respiratory, urinary, and dental bacterial infections.","Diarrhea, nausea, or localized rash.",222
Entamizole 100mg SR-4868,Sami,100mg,Capsule,Tablets/Capsules,"Treats mixed amoebic and bacterial dysentery, diarrhea, and dental infections.","Metallic taste, dark urine, or nausea.",370
Dermovate 100mg SR-4869,Martin Dow,100mg,Gel,Tubes (Creams/Gels/Ointments),"Highly potent corticosteroid for severe eczema, psoriasis, and resistant dermatoses.","Local burning, skin thinning, or mild redness.",704
Instaflex 20g SR-4870,Barrett Hodgson,20g,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",332
Dalacin-T 250mg SR-4871,Novartis,250mg,Gel,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,267
Citra-Alka 20mg SR-4872,Bosch,20mg,Sachet,Powders/Sachets,"Systemic alkalizer sachet for symptomatic relief of burning micturition, cystitis, and gout.",Mild bloating or nausea.,691
Instaflex 20g SR-4873,Barrett Hodgson,20g,Powder,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",793
ORS (Nimkol) 500mg SR-4874,Sanofi,500mg,Powder,Powders/Sachets,"Oral rehydration salts to restore electrolytes lost during diarrhea, vomiting, and dehydration.",None under recommended usage.,1215
Mobic Gel 250mg SR-4875,Sami,250mg,Gel,Tubes (Creams/Gels/Ointments),"Topical anti-inflammatory gel for localized relief of muscular pain, sprains, and arthritis.",Mild skin irritation or dry skin.,863
Lowplat 250mg/5ml SR-4876,Ferozsons,250mg/5ml,Capsule,Tablets/Capsules,"Prevents blood clotting, reduces risk of heart attack, stroke, and cardiovascular events.","Increased bruising, nosebleeds, or minor bleeding.",1376
Velo 100mg SR-4877,Sanofi,100mg,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue.","Bloating, mild abdominal cramps.",850
Gravinate 5ml SR-4878,Sanofi,5ml,Suspension,Syrups/Suspensions,"Prevents and treats nausea, vomiting, motion sickness, and vertigo.","Drowsiness, dry mouth, or blurred vision.",937
Cranmax 20g SR-4879,Searle,20g,Powder,Powders/Sachets,Cranberry extract sachet to prevent urinary tract infections (UTIs) and support urinary health.,Mild stomach upset under high dose.,413
Dalacin-T 250mg/5ml SR-4880,Getz Pharma,250mg/5ml,Cream,Tubes (Creams/Gels/Ointments),Topical clindamycin solution/gel for inflammatory acne treatment.,Local dryness or mild irritation.,1478
Ennerzo 5ml SR-4881,Abbott,5ml,Sachet,Powders/Sachets,"Electrolyte replenishment, fiber supplement, or chronic fatigue recovery.","Bloating, mild abdominal cramps, increased urination.",932
Instaflex 500mg/5ml SR-4882,Barrett Hodgson,500mg/5ml,Sachet,Powders/Sachets,"Electrolyte replenishment, joint health support, or chronic fatigue.","Bloating, mild abdominal cramps.",689
Tusdec 10s SR-4883,Getz Pharma,10s,Syrup,Syrups/Suspensions,"Dry cough relief, pediatric fever control, or acid reflux relief.","Drowsiness, dry mouth, mild diarrhea.",1258
Amoxil 20s SR-4884,Novartis,20s,Capsule,Tablets/Capsules,Broad-spectrum penicillin antibiotic for systemic bacterial infections.,"Nausea, diarrhea, abdominal discomfort, or skin rash.",1297
Brufen 500mg/5ml SR-4885,Novartis,500mg/5ml,Tablet,Tablets/Capsules,"Relieves inflammatory pain, swelling, rheumatoid arthritis, dental pain, and muscular pain.","Mild stomach upset, heartburn, or nausea.",818
Selsun Blue 30s SR-4886,Martin Dow,30s,Gel,Tubes (Creams/Gels/Ointments),Antidandruff shampoo and topical antifungal for seborrheic dermatitis and tinea versicolor.,Local skin irritation or hair dryness.,1458
Gaviscon 20g SR-4887,PharmEvo,20g,Suspension,Syrups/Suspensions,"Fast-acting relief from gastric acidity, heartburn, and acid indigestion.",Very rare mild bloating or constipation.,590
Arinac Forte 20s SR-4888,Hilton,20s,Tablet,Tablets/Capsules,"Relieves nasal congestion, sinus pressure, fever, headache, and allergic rhinitis.","Mild drowsiness, dry mouth, or increased heart rate.",597
